SIG. TOP,Código,NOMBRE AUTOR,TITULO LIBRO,Edición,Cant.
615.1/L52-ESEN,ESEN-792,LITTER M.,Farmacología General,1970,1
615.7/M48-ESEN,ESEN-794,"MEYERS, Frederik; JAWETZ, Ernest; GOLDFIEN, Alan",Manual de Farmacología Clínica,1980,1
615.1/F18-ESEN,ESEN-795,"Falconer, Mary W.",Farmacología y terapeútica,1970,1
615.7/T82-ESEN,ESEN-797,"TROUNCE, J.R.; HALL, J.M.; y otros",Manual de Farmacología Clínica,1983,1
615.1/Q84-ESEN,ESEN-800-801,MANAGEMENT SCIENCES FOR HEALTH,El Suministro de Medicamentos,1983,2
612.047/W74-ESEN,ESEN-802,Winthrop Lab.,El Dolor como síntoma y como agente,1952,1
614.5/S41-ESEN,ESEN-816,"SEPULVEDA BUSTOS, Haydee",Normas de atención primaria del niño y adolescente,1984,1
614.5/B38-ESEN,ESEN-817-824,OPS,El Control de las Enfermedades Transmisibles en el Hombre,1992,8
616.024/K77-ESEN,ESEN-830,"KOZEL, Carlos",Tratamientos naturales,1974,1
616.024/K77-ESEN,ESEN-831,"KOZEL, Carlos",La senda de la salud,1974,1
616.995/E98-ESEN,ESEN-841,"EINIS, V.",Tuberculosis,1957,1
616.995/F79-ESEN,ESEN-847,W.Fox. D.Mitchison,Quimioterapia del a Tuberculosis,1975,1
616.51/V18-ESEN,ESEN-857,"VALDIVIA BLONDET, Luis",Dermatosis Profesional,1989,1
616.39/M77-ESEN,ESEN-879,"MONCKEBERG, Fernando",Desnutrición Infantil,1988,1
615.1/P45-ESEN,ESEN-900,"PEREZ ALBA, Simón",Control Microbiológico de los Medicamentos,1989,1
616.01/J27-ESEN,ESEN-904,"JAWETZ, Ernest; MELNICK, Joseph; y otros",Microbiología Médica,1990,1
616.026/W98-ESEN,ESEN-910-911,J.Wyngaarden. L.Smith,Tratado de Medicina Interna de Cecil,1986,2
616.072/S95-ESEN,ESEN-919,"SUROS, J.",Semiología Médica y Técnica Exploratoria,1972,1
612.3/F74-ESEN,ESEN-941,Samuel J. Fomon,Nutrición Infantil,1976,1
612.3/R99-ESEN,"ESEN-955,957","MITCHELL, Helen; RYNBERGEN, Henderika; ANDERSON, Linnea; DIBBLE, Marjorie",Nutrición y dieta de Cooper,1970,2
641.598/M94-ESEN,ESEN-959-960,"MUÑOZ DE CAMPERO, Juana",El ABC de la Nutrición Aplicada,1989,2
616.89/P23-ESEN,ESEN-968,"PANCHERI, Paolo",Manual de psiquiatría clínica,1979,1
616.89/K73-ESEN,ESEN-975,Lawrence C. Kolb,Psiquiatría Clínica Moderna,1976,1
616.CH19-ESEN,ESEN-979,"CHANDLER, A.; READ, C.",Introducción a la Parasitología,1965,1
616.96/F26-ESEN,ESEN-980,"FAUST, E.; RUSSELL, P.; JUNG, R.",Parasitología Clínica,1974,1
616.96/P54-ESEN,ESEN-981,"PIEKARSKI, Gerhard",Tratado de Parasitología,1959,1
610.9/T83-ESEN,"ESEN-999, 1000, 1001-1002","ELLEN YEAGER, Mary","Técnicas en el Quirófano, Manual para Personal de Sala de Operaciones",1962,4
610.9/J61-ESEN,ESEN-1003,"ATKINSON, Lucy; KOHN, Mary",Técnicas de Quirófano de Berry y Kohn,1981,1
617.634/V67-ESEN,ESEN-1004,"VILLENA, Hernán; SARAVIA, Miguel",Manual de Procedimientos Clínicos: Pulpectomía,1989,1
616.075/B19-ESEN,ESEN-1008,"BAKER, Roger",Técnicas de Necropsia,1969,1
617.96/C72-ESEN,ESEN-1013,"COLLINS, Vincent",Anestesiología,1983,1
617.93/S21-ESEN,ESEN-1015,"SANDOVAL, Manuel",Técnicas de los Vendajes,1965,1
617.7/O65-ESEN,"ESEN-1017-1018, 2770",OPS,Manual de Atención Ocular Primaria,1984,3
618.2/H37-ESEN,ESEN-1022,L.Hellman. J.Pritchard. R.Wynn,Williams Obstetricia,1978,1
618.2/S36-ESEN,"ESEN-1024, 3275","SCHWARCZ, R.; DUVERGES, C.; DIAZ, A.; FESCINA, R.",Obstetricia,1986,2
610.736/O65-ESEN,"ESEN-1040, 1347, 1349, 3072",OPS,Manual sobre el Enfoque de Riesgo en la Atención Maternoinfantil,1986,4
618.2/B13-ESEN,ESEN-1045,"BACHMANN, Carlos",Adolescencia Riesgo Reproductivo,1988,1
618.2/P45-ESEN,ESEN-1046-1051,MINSA,Manual de la Partera Tradicional,1979,6
618.2/H37-ESEN,ESEN-1058-1059,"HELSING, Elizabet; SAVAGE, Felicity",Guía Práctica para una Buena Lactancia,1983,2
618.2/S82-ESEN,ESEN-1063,"SUAREZ FERNANDEZ, José Manuel",Actualidad en Obstetricia y Ginecología,1981,1
618.920/M79-ESEN,ESEN-1070,M.Breckenridge. M.Nesbitt,Crecimiento y Desarrollo del Niño,1958,1
618.92/M79-ESEN,ESEN-1083,David Morley,Prioridades en la Salud Infantil,1977,1
618.92/B46-ESEN,ESEN-1093-1095,"BEHRMAN, Richard; VAUGHAN, Victor; NELSON, Waldo","Tratado de Pediatría, Nelson",1987,3
616.46/O65-ESEN,"ESEN-1097-1098, 3439",OPS,Manual de Normas Técnicas y Administrativas del Programa de Diabetes Mellitus,1988,3
616.72/O65-ESEN,ESEN-1100,OPS,Las enfermedades reumáticas como problema de salud comunitario,1988,1
618.92/P45-ESEN,ESEN-1105,MINSA,"Normas de Atencion de Salud Infantil, Control de Crecimiento y Desarrollo del Niño",1983,1
618.92/T32-ESEN,ESEN-1113,"TICONA RENDON, Manuel","Perinatología, prevención- diagnóstico-tratamiento ",1997,1
155.5/S47-ESEN,"ESEN-1114, 1375,3164","SHAFII, M.; SHAFII, S.",Desarrollo humano,1985,3
641.598/P45-ESEN,ESEN-1121-1122,MINSA,Recetario PAMI,1982,2
641.598/S21-ESEN,ESEN-1123,Carmen R. de Sanchez,Un Futuro a Base de Kiwicha,1989,1
616.075/B17-ESEN,ESEN-1124-1125,"BALCELLS GORINA, Alfonso","La Clínica y el Laboratorio, (Interpretación de Análisis y Pruebas Funcionales)",1973,2
616.075/G88-ESEN,ESEN-1126,"GUERCI, Aldo",Laboratorio: Métodos de Análisis Clínicos y su Interpretación,1985,1
616.075/O65-ESEN,"ESEN-1131-1132, 2204-2205",OPS,Manual de Técnicas Básicas para un Laboratorio de Salud,1983,4
618.97/R36-ESEN,ESEN-1135,"REICHEL, William",Aspectos Clínicos del Envejecimiento,1981,1
618.97/C83-ESEN,ESEN-1136,"COWDRY, E.V.",El Cuidado del Paciente Geriátrico,1962,1
658.97/CH44-ESEN,ESEN-1138,"CHIAVENATO, Idalberto",Introducción a la teoría general de la administración,1981,1
610.73/U1-ESEN,ESEN-1139,"URWICK, L.; y otros",Los elementos de la administración,1961,1
659.2/R71-ESEN,ESEN-1142,"ROBINSON, Edward",Comunicación y Relaciones Públicas,1981,1
658.4/K74-ESEN,ESEN-1146,"KOONTZ, Harold; O'DONNELL, Cyril","Curso de Administración Moderna, un análisis de sistemas y contingencias de las funciones administrativas",1973,1
610.734/M12-ESEN,"ESEN-1148-1150, 1324, 1344, 1821-1824, 2861",R.McMahon. E.Barton. M.Piot,Administración de la Atención Primaria de Salud,1980,10
658.315/G35-ESEN,ESEN-1152,"GELLERMAN, Saul",La Administración de las Relaciones Humanas,1980,1
658.38/A81-ESEN,ESEN-1157,Asoc. Americana de Hospitales,"Administración de Registros de Hospital, Manual de Instrucciones",1959,1
658.38/A98-ESEN,ESEN-1158,Asoc. Americana de Hospitales,Organización de un Nuevo Hospital,1959,1
658.413/P87-ESEN,ESEN-1159-1160,PROAHSA,Manual de Organización y Procedimientos Hospitalarios,1990,2
750/C68-ESEN,ESEN-1161-1162,Raymond Cogniat,Historia de la Pintura,1961,2
649.57/M32-ESEN,ESEN-1164,Betty Maycock Roys,Gimnasia para niñas y mujeres,1974,1
869.56/P19-ESEN,ESEN-1165-1170,Ricardo Palma,Tradiciones Peruanas,1961,6
868.4/C45-ESEN,ESEN-1171-1172,Miguel Cervantes Saavedra,El Ingenioso Hidalgo Don Quijote de la Mancha,1960,2
859/D93-ESEN,ESEN-1173,Dostoyevski,Los Hermanos Kasamazoy-El Jugador,1962,1
610.736/B85-ESEN,ESEN-1174,L.Brunner. D.Suddarth,Manual de Enfermería Médico Quirúrgica,1985,1
843/D97-ESEN,ESEN-1183,Dumas (Padre),Los Tres Mosqueteros-Veinte Años Después,1963,1
859/T68-ESEN,ESEN-1184,Tolstoi,Novelas Estelares,1964,1
843/R86-ESEN,ESEN-1185,Rousseau,Rousseau,1965,1
823/S51-ESEN,ESEN-1187,Sienkiewicz,Sienkiewicz. Obras Estelares,1964,1
843/Z85-ESEN,ESEN-1192,Zola,Zola. Obras Estelares: La Taberna-Naná,1963,1
859.56/A37-ESEN,ESEN-1193,Ciro Alegría,El Mundo es Ancho y Ajeno,1961,1
869.56/A69-ESEN,ESEN-1195,José María Arguedas,Todas las Sangres,1964,1
859/A39-ESEN,ESEN-1207,Dante Alighieri,La Divina Comedia,1958,1
858..9/B64-ESEN,ESEN-1208,Luis Obiols,Boccaccio.  Obras Estelares,1964,1
985.008/V32-ESEN,ESEN-1214-1223,R. Vargas Ugarte,Historia General del Perú,1971,10
985.063/B24-ESEN,ESEN-1225-1230,Jorge Basadre,Historia de la República del Perú,1964,6
869.56/P78-ESEN,ESEN-1231,P.Porras. A.Wagner,Historia de los Límites del Perú,1981,1
909.00/M33-ESEN,ESEN-1235,A.G.Mazour. J.M.Peoples,Historia de las Naciones,1964,1
985.4/B24-ESEN,ESEN-1239,Jorge Basadre,Antología sobre la guerra del Pacífico 1879-1880,1976,1
985.008/V18-ESEN,"ESEN-1246,1248",Luis E. Valcarcel,Historia del Perú Antigüo,1964,2
869.56/B24-ESEN,ESEN-1249,Jorge Basadre,Perú: Problema y Posibilidad,1979,1
985.073/C94-ESEN,ESEN-1250,Rómulo Cúneo-Vidal,Historia de la Civilización Peruana. Historia de los Cacicazgos Hereditarios del Sur del Perú,1977,1
985.073/C94-ESEN,ESEN-1251,Rómulo Cúneo-Vidal,"Vida del Conquistador del Perú, Don Francisco Pizarro",1977,1
985.073/C94-ESEN,ESEN-1252,Rómulo Cúneo-Vidal,Guerras de los Últimos Incas Peruanos Contra el Poder Español,1977,1
985.073/C94-ESEN,ESEN-1253,Rómulo Cúneo-Vidal,Precursores y Mártires de la Independencia del Perú,1977,1
985.073/C94-ESEN,ESEN-1254,Rómulo Cúneo-Vidal,Historia de la Fundación de la Ciudad de San Marcos de Arica,1977,1
985.073/C94-ESEN,ESEN-1255,Rómulo Cúneo-Vidal,Diccionario Histórico-Biográfico del Sur del Perú,1977,1
618.2/H37-ESEN,ESEN-1261,"HELSING, Elizabet; SAVAGE, Felicity",Guía Práctica para una Buena Lactancia,1983,1
610.736/R34-ESEN,ESEN-1262,"REEDER, Sharon; MASTROIANNI, Luigi; MARTIN, Leonide",Enfermería MaternoInfantil,1981,1
616.075/M26-ESEN,"ESEN-1266, 3567-3569",E.Martínez. J.Lerma,"Valoración del Estado de Salud, Atención Primaria de Salud",1990,4
617/O65-ESEN,ESEN-1267,OPS,Manual de Cirugía Básica para la Atención Primaria,1989,1
610.7/P19-ESEN,"ESEN-1268,1631",OPS,Enseñanza de las Ciencias de la Salud en América Latina,1990,2
641.3/C22-ESEN,ESEN-1269,"CAMERON, Margaret; HOFVANDER, Yngve",Manual para alimentación de infantes y niños pequeños,1989,1
614.793-ESEN,ESEN-1272,OPS,Manual para Localización Lógica de Fallas y su Corrección de Equipo para la Salud,1989,1
616.462/O65-ESEN,"ESEN-1275, 1659, 1980",OPS,La hipertensión arterial como problema de salud comunitario,1990,3
371.610/O65-ESEN,"ESEN-1277, 1874-1875",OPS,Evaluación para el Planeamiento de Programas de Educ. para la Salud Nº 18 ,1990,3
612/V77-ESEN,ESEN-1278,"URIBE MESA, Adolfo Leon",Manual para Exámen Físico del Normal,1988,1
574.824/C77-ESEN,"ESEN-1280,3003-3004","CORMACK, David",Histología de Ham,1988,3
547.192/M22-ESEN,"ESEN-1281,2967-2968","MURRAY, R.; GRANNER, D.; Y OTROS",Bioquímica de Harper,1988,3
615.7/M59-ESEN,ESEN-1282,"MALAGON LONDOÑO, Gustavo",Problemas frecuentes del aparato locomotor,1990,1
612.64/S18-ESEN,"ESEN-1283, 3147-3148","SADLER, T.W.",Embriología Médica,1988,3
610.734/H18-ESEN,"ESEN-1286-1287,1725-1726,1806-1810,2875-2878,2901,3014,3963","HALL, JOANNE; REDDING B.",Enfermería en Salud Comunitaria: Un Enfoque de Sistemas,1990,16
611.9/G25-ESEN,ESEN-1290,Ronan O`Rahilly,Anatomía de Gardner,1989,1
611/L28-ESEN,"ESEN-1292-1293, 1623-1624, 1886-1889, 3013","LATARJET, M.; RUIZ, A.",Anatomía Humana,1989,9
616.12/A65-ESEN,"ESEN-1294, 1652-1653, 1753, 3198","ARANGO, Juan Jose",Fundamentos de Medicina: Manual de Electrocardiografía,1990,5
